"Structure ID","Ligand ID","SMILES","InChiKey"
86,2327,"S(=O)(=O)(N1c2ncccc2CNc3nc(ncc3C(F)(F)F)Nc4cc5c(N(C(=O)CCCC1)CC5)cc4)C","FOLRUTAUDNCQAE-UHFFFAOYSA-N"
93,36,"O=C(NC=1N(N=C(C1)C(C)(C)C)c2ccc(cc2)C)NC=3NN=C(C3)COc4cnccc4","NJARPUHZDSAXPL-UHFFFAOYSA-N"
93,37,"S(=O)(=O)(N(c1c(cccc1)CNc2nc(ncc2C(F)(F)F)Nc3cc4c(NC(=O)C4)cc3)C)C","POJZIZBONPAWIV-UHFFFAOYSA-N"
93,38,"S=P(OP(=O)(OP(=O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O)O)(O)O","NLTUCYMLOPLUHL-KQYNXXCUSA-N"
93,39,"O=C(Nc1c2NC(C(=O)NC(C)C)=Cc2ccc1)NC=3N(N=C(C3)C(C)(C)C)c4ccc(cc4)C","WGABQSVUYBMTBW-UHFFFAOYSA-N"
93,40,"S(=O)(=O)(N1CCCC1)c2c(cccc2)CNc3nc(ncc3C(F)(F)F)Nc4cc5c(NC(=O)C5)cc4","CKRPEFXFIJADJE-UHFFFAOYSA-N"
93,41,"O=C(NC=1N(N=C(C1)C(C)(C)C)c2ccc(cc2)C)NC=3NN=C(c4c(cc(OC)cc4)C)C3","LATBWIWKSPOPNK-UHFFFAOYSA-N"
93,42,"O=C(Nc1c2c(c(OCCN3CCOCC3)cc1)cccc2)NC=4N(N=C(C4)C(C)(C)C)c5ccc(cc5)C","MVCOAUNKQVWQHZ-UHFFFAOYSA-N"
93,43,"S(=O)(=O)(NC)c1ccc(Nc2nc(N[C@H]3[C@H](N(C)C)CCC3)c(cn2)C(F)(F)F)cc1","CAUFYHKGKDJMQG-HZPDHXFCSA-N"
93,87,"S(=O)(=O)(N(c1ncccc1CNc2nc(ncc2C(F)(F)F)Nc3cc4c(NC(=O)C4)cc3)C)C","MZDKLVOWGIOKTN-UHFFFAOYSA-N"
93,2327,"S(=O)(=O)(N1c2ncccc2CNc3nc(ncc3C(F)(F)F)Nc4cc5c(N(C(=O)CCCC1)CC5)cc4)C","FOLRUTAUDNCQAE-UHFFFAOYSA-N"
100,44,"FC(F)(F)c1cc(NC(=O)Nc2cc(Nc3cc4NC(=O)/C(/c4cc3)=C\C=5NC=CC5)ccc2)ccc1","JCRUDKWPDBIGME-UCQKPKSFSA-N"
100,45,"N#Cc1ccc(cc1)C=2N3N=C(NCc4ccccc4)C=CC3=NC2","OXQTXNVWTNDAQF-UHFFFAOYSA-N"
100,3536,"Cc1c(cccc1C(=O)Nc2cc(cc(c2)N3CCN(CC3)C)C(F)(F)F)C#Cc4cnc5n4ccnc5","MFTCKIGOHVOPIP-UHFFFAOYSA-N"
100,3537,"Cc1c(cccc1C(=O)Nc2cc(cc(c2)N3CCN(CC3)C)C(C)C)C#Cc4cnc5n4cc(nc5)c6ccc(cc6)N","VBGZPGTYAGJBAX-UHFFFAOYSA-N"
117,48,"O=C(Nc1cc(Nc2nc(c3cnccc3)ccn2)c(cc1)C)c4ccc(cc4)CN5CCN(CC5)C","KTUFNOKKBVMGRW-UHFFFAOYSA-N"
117,49,"S(c1nc(N2CCN(CC2)C)cc(n1)NC=3NN=C(C3)C)c4ccc(NC(=O)C5CC5)cc4","GCIKSSRWRFVXBI-UHFFFAOYSA-N"
117,50,"S(=O)(=O)(N)c1ccc(NC2=NN(C(=S)Nc3c(F)cccc3F)C(=N2)N)cc1","ARIOBGGRZJITQX-UHFFFAOYSA-N"
132,51,"Fc1c(O)c(F)cc(c2c(c3ccc(N4CCN(CC4)C)cc3)ccnc2)c1","IKUFKDGKRLMXEX-UHFFFAOYSA-N"
132,52,"O1c2c(N=C1Nc3cc(OC)c(OC)c(OC)c3)cccc2c4c5NC=Nc5ccc4","ZWUCWBYYVLQXEP-UHFFFAOYSA-N"
132,53,"Fc1c(c(OC)ccc1)c2c3OC(=Nc3ccc2)Nc4cc(OC)c(OC)c(OC)c4","ZDYXRELDNKSUBF-UHFFFAOYSA-N"
132,64,"P(=O)(OP(=O)(O)NP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O","PVKSNHVPLWYQGJ-KQYNXXCUSA-N"
132,1847,"Oc1ccc(cc1)C2=NNC=C2c3ccc(O)cc3","FHGTUVGVZRNUDB-UHFFFAOYSA-N"
132,1848,"Fc1c(O)c(F)cc(Nc2nc3N([C@@H](C(=O)N(c3cn2)C)C)CCC(C)C)c1","DTEKTGDVSARYDS-LLVKDONJSA-N"
167,54,"Clc1cc2c(N(c3c(N=C2N[C@@H]4CN(C(=O)NC(C)(C)C)CC4)cc(F)cc3)CC)cc1","NIVBGOGCJSMNMG-KRWDZBQOSA-N"
167,55,"Clc1c2NC=Nc2ccc1CNc3nc(NC4=NNC(=C4)C5CC5)ccn3","DYLHVDVCWIEYSA-UHFFFAOYSA-N"
167,56,"Clc1cc2c(N(c3c(N=C2N4CCN(CC4)C)cc(F)cc3)CC)cc1","NQBRFDSRSGHBBK-UHFFFAOYSA-N"
167,57,"Fc1cc2N=C(N3CCN(CC3)C)c4c(Nc2cc1)ccc(F)c4","PYSIAKZWZJNMNM-UHFFFAOYSA-N"
167,58,"O(CCNC1=Nc2c(N1c3nc(ncc3)N)cc(C#CC4(O)CCCCC4)cc2)C","RZXMIHOUHYSGJO-UHFFFAOYSA-N"
167,59,"Clc1c(ccc(c1)C=2SC=NC2)C=3C(=O)N(c4nc(ncc4C3)Nc5ccc(N6CCN(CC6)C)cc5)CC","DHUJCQOUWQMVCG-UHFFFAOYSA-N"
167,60,"Clc1c(cc(cc1)CO)C(=O)C=2c3c(ncc(c3)C=4C=NN(C4)C5CCNCC5)NC2","RHZPBNHUNKAZOC-UHFFFAOYSA-N"
167,61,"S1c2c(nc(nc2C=C1)N3CCC(N)CC3)NC4=NNC(=C4)C5CC5","DNTNKJATBLJMII-UHFFFAOYSA-N"
167,62,"n1c(nccc1NC=2NN=C(C2)C3CC3)NCC4CCC(N)CC4","TUBDCTXNBUJRCI-UHFFFAOYSA-N"
167,63,"P(=O)(OP(=O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O)(OP(=O)(O)O)O","ZKHQWZAMYRWXGA-KQYNXXCUSA-N"
167,64,"P(=O)(OP(=O)(O)NP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O","PVKSNHVPLWYQGJ-KQYNXXCUSA-N"
167,65,"S1c2c(nc(nc2C=C1)C)NC3=NNC4=C3CN(C(=O)N[C@@H](c5ccccc5)CN(C)C)C4(C)C","AYCPARAPKDAOEN-LJQANCHMSA-N"
